"id","property class","acreage", "value", "orig val data"
428.12-1-1 ,210 1 Family Res,0.13,"105,000","FULL MARKET VALUE 105,000\r"
428.12-1-2 ,210 1 Family Res,2.00,"128,000","FULL MARKET VALUE 128,000 AD115 Hancock Ambulance 12,800 TO\r"
428.16-1-2 ,null,7.89,"20,000","FULL MARKET VALUE 20,000\r"
428.16-2-1 ,null,1.80,"115,000","FULL MARKET VALUE 115,000\r"
428.16-2-2 ,null,0.06,"22,000","FULL MARKET VALUE 22,000\r"
428.16-2-3 ,null,0.25,"60,000","FULL MARKET VALUE 60,000\r"
428.16-2-4 ,null,0.56,"600,000","FULL MARKET VALUE 600,000\r"
428.16-2-5 ,null,0.74,"250,000","FULL MARKET VALUE 250,000\r"
428.16-2-6 ,210 1 Family Res,0.13,"105,000","FULL MARKET VALUE 105,000\r"
428.16-2-7 ,null,0.50,"110,000","FULL MARKET VALUE 110,000\r"
428.16-2-8 ,null,0.75,"135,000","FULL MARKET VALUE 135,000\r"
428.16-2-9 ,null,1.00,"100,000","FULL MARKET VALUE 100,000\r"
428.16-2-10 ,210 1 Family Res,0.13,"155,000","FULL MARKET VALUE 155,000\r"
428.16-2-11 ,210 1 Family Res,0.24,"160,000","FULL MARKET VALUE 160,000\r"
428.16-2-12.1 ,null,1.48,"750,000","DEED BOOK 1580 PG-269 FULL MARKET VALUE 750,000\r"
428.16-2-14 ,null,0.25,"195,000","FULL MARKET VALUE 195,000\r"
428.16-2-15 ,null,0.25,"140,000","FULL MARKET VALUE 140,000\r"
428.16-2-16 ,null,0.50,"900,000","FULL MARKET VALUE 900,000\r"
428.16-2-19 ,null,null,"20,000","FULL MARKET VALUE 20,000\r"
428.16-2-20 ,null,0.25,"405,000","FULL MARKET VALUE 405,000\r"
428.16-2-21 ,null,0.38,"19,000","FULL MARKET VALUE 19,000\r"
428.16-2-22 ,210 1 Family Res,null,"41,000","FULL MARKET VALUE 41,000\r"
428.16-2-23.2 ,null,null,"180,000","FULL MARKET VALUE 180,000\r"
428.16-2-23.31 ,null,0.89,"630,000","FULL MARKET VALUE 630,000\r"
428.16-2-25.1 ,null,0.28,"2400,000","FULL MARKET VALUE 2400,000\r"
428.16-2-26 ,210 1 Family Res,0.20,"90,000","FULL MARKET VALUE 90,000\r"
428.16-2-27 ,210 1 Family Res,0.31,"112,000","FULL MARKET VALUE 112,000\r"
428.16-2-29 ,210 1 Family Res,0.20,"110,000","FULL MARKET VALUE 110,000\r"
